,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0061,0.0200,0.0423,0.6593,0.0215
r_e,7.5345,1.1527,5.2142,0.0156,118.3076
n,2.6881,0.3398,0.4355,4.1944,0.7676
x_0,38.1988,61.6166,70.2574,75.0175,58.8095
