,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1164,0.0141,0.6158,0.7101,0.6494
r_e,49.1015,8.3217,8.9627,7.3552,13.8714
n,2.1091,3.6413,0.6113,2.1774,0.5424
x_0,19.3729,33.2339,47.0264,67.3616,77.9831
